City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Adrasmon,TJ,2021-03-29 18:15:57,40.6472,69.9856,42.8,81,90,11.18
131,Jumla,NP,2021-03-29 18:15:57,29.2747,82.1838,48.02,73,98,4.7
132,Krasnoselkup,RU,2021-03-29 18:15:57,65.7,82.4667,-14.46,94,37,8.68
133,Mangrol,IN,2021-03-29 18:15:58,21.1167,70.1167,77.99,78,35,10.18
134,Yelovo,RU,2021-03-29 18:15:58,57.0538,54.9207,30.33,93,93,3.87
135,San Andres,CO,2021-03-29 18:11:03,12.5847,-81.7006,86.0,66,40,18.41
136,Taltal,CL,2021-03-29 18:15:58,-25.4,-70.4833,69.35,67,4,8.39
137,Rauma,FI,2021-03-29 18:15:59,61.1272,21.5113,42.8,93,90,8.05
138,East London,ZA,2021-03-29 18:15:59,-33.0153,27.9116,69.8,78,75,9.22
139,Bonavista,CA,2021-03-29 18:16:00,48.6499,-53.1147,34.0,93,100,17.27
140,Luderitz,NA,2021-03-29 18:16:00,-26.6481,15.1594,63.46,85,0,8.77
141,Arraial Do Cabo,BR,2021-03-29 18:16:00,-22.9661,-42.0278,95.0,62,20,9.22
142,Gualan,GT,2021-03-29 18:16:01,15.1333,-89.3667,91.4,33,40,13.8
143,Kalmar,SE,2021-03-29 18:16:01,56.6616,16.3616,51.8,87,90,11.5
144,Coihaique,CL,2021-03-29 18:16:02,-45.5752,-72.0662,71.6,53,0,5.57
145,Amapa,BR,2021-03-29 18:16:02,1.0,-52.0,78.48,93,100,4.63
146,Sept-Iles,CA,2021-03-29 18:16:02,50.2001,-66.3821,35.6,64,75,14.97
147,Ancud,CL,2021-03-29 18:16:03,-41.8697,-73.8203,69.8,60,0,16.11
148,Atar,MR,2021-03-29 18:16:03,20.5169,-13.0499,98.6,20,1,2.3
149,Castro,BR,2021-03-29 18:16:03,-24.7911,-50.0119,73.71,68,38,5.64
150,Qasigiannguit,GL,2021-03-29 18:16:04,68.8193,-51.1922,10.4,44,75,6.91
151,Bartica,GY,2021-03-29 18:16:04,6.4,-58.6167,84.2,70,40,18.41
152,Kifri,IQ,2021-03-29 18:12:51,34.6959,44.9661,59.02,26,0,9.26
153,Marsa Matruh,EG,2021-03-29 18:16:05,31.3525,27.2453,59.0,55,40,9.22
154,Kaoma,ZM,2021-03-29 18:16:05,-14.7833,24.8,64.06,86,32,5.23
155,Salalah,OM,2021-03-29 18:16:05,17.0151,54.0924,82.4,78,0,2.3
156,Tambacounda,SN,2021-03-29 18:16:06,13.7539,-13.7586,105.8,35,2,9.22
157,Gilgit,PK,2021-03-29 18:16:06,35.9221,74.3087,50.88,76,47,3.13
158,Yar-Sale,RU,2021-03-29 18:16:06,66.8333,70.8333,8.58,95,100,12.15
159,Souillac,MU,2021-03-29 18:16:07,-20.5167,57.5167,77.0,94,20,6.91
160,Kortkeros,RU,2021-03-29 18:16:07,61.8106,51.5806,37.4,48,0,4.47
161,Banikoara,BJ,2021-03-29 18:16:08,11.2985,2.4386,93.09,12,14,5.03
162,Feijo,BR,2021-03-29 18:16:08,-8.1642,-70.3536,82.04,84,98,2.3
163,Cienfuegos,CU,2021-03-29 18:15:29,22.1461,-80.4356,87.8,51,40,11.5
164,Lagos,NG,2021-03-29 18:15:04,6.5833,3.75,84.2,79,17,10.36
165,Araouane,ML,2021-03-29 18:16:08,18.9048,-3.5265,87.98,5,7,7.85
166,Quatre Cocos,MU,2021-03-29 18:16:09,-20.2078,57.7625,78.01,94,20,6.91
167,Amparafaravola,MG,2021-03-29 18:16:09,-17.5833,48.2167,69.53,90,50,3.06
168,Hofn,IS,2021-03-29 18:16:09,64.2539,-15.2082,35.6,60,0,23.02
169,Nisia Floresta,BR,2021-03-29 18:16:10,-6.0911,-35.2086,87.8,66,20,13.8
170,Ongandjera,NA,2021-03-29 18:16:10,-17.8833,15.0667,78.58,51,53,7.81
171,Saldanha,ZA,2021-03-29 18:16:10,-33.0117,17.9442,66.2,82,1,8.05
172,Havoysund,NO,2021-03-29 18:16:11,70.9963,24.6622,37.4,75,40,14.97
173,Carnarvon,AU,2021-03-29 18:16:11,-24.8667,113.6333,78.8,89,61,6.91
174,Porto Novo,BJ,2021-03-29 18:16:11,6.4965,2.6036,86.0,74,20,13.8
175,Pedernales,DO,2021-03-29 18:16:12,18.0384,-71.744,86.63,48,2,3.94
176,Cap Malheureux,MU,2021-03-29 18:16:12,-19.9842,57.6142,78.01,80,79,7.47
177,Olden,NO,2021-03-29 18:16:13,61.8364,6.8064,46.4,66,75,20.71
178,Cradock,ZA,2021-03-29 18:16:13,-32.1642,25.6192,67.33,44,68,5.64
179,Talas,TR,2021-03-29 18:16:13,38.6908,35.5538,44.6,45,40,3.44
180,Carutapera,BR,2021-03-29 18:16:14,-1.195,-46.02,80.04,89,74,8.25
181,Kuruman,ZA,2021-03-29 18:16:14,-27.4524,23.4325,70.05,34,2,5.61
182,Kaniama,CD,2021-03-29 18:16:14,-7.5667,24.1833,66.9,97,83,3.51
183,Moyo,UG,2021-03-29 18:16:15,3.6609,31.7247,80.13,39,91,2.28
184,Geraldton,AU,2021-03-29 18:16:15,-28.7667,114.6,75.2,69,40,5.75
185,Marsh Harbour,BS,2021-03-29 18:16:15,26.5412,-77.0636,78.04,65,61,10.74
186,Gerash,IR,2021-03-29 18:16:16,27.6652,54.1371,77.0,19,0,7.78
187,Tamandare,BR,2021-03-29 18:16:17,-8.7597,-35.1047,83.55,69,91,8.43
