City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
339,Sakakah,SA,75.2,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
352,Mmabatho,ZA,75.2,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
366,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
367,Amudat,UG,76.77,scattered clouds,1.95,34.95,Silent Night Hotel
369,Grand Gaube,MU,79.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
370,Tocopilla,CL,72.36,clear sky,-22.092,-70.1979,Hotel Galvarino
372,Santa Lucia,ES,73.4,broken clouds,27.9117,-15.5407,Las Tirajanas
377,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
385,Barranca,PE,71.67,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
391,Antalaha,MG,76.62,light rain,-14.9003,50.2788,Hotel Vitasoa
394,Komatipoort,ZA,73.0,clear sky,-25.4332,31.9548,Kruger View Backpackers
399,Chibuto,MZ,71.33,clear sky,-24.6867,33.5306,Hotel Mar Da Zinha
400,Ilhabela,BR,75.97,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
401,Catamarca,AR,79.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
403,Hualmay,PE,72.68,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
405,Dakar,SN,77.0,clear sky,14.6937,-17.4441,Redface Studios Meublés
412,Owando,CG,77.7,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
417,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
418,Madison,US,72.0,broken clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
424,Mount Pleasant,US,79.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
426,Chiredzi,ZW,74.77,clear sky,-21.05,31.6667,The Nesbitt Arms
430,Mapiripan,CO,73.98,overcast clouds,2.8892,-72.1256,Monserrate
435,Wilmington,US,73.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
447,Rocha,UY,71.02,clear sky,-34.4833,-54.3333,Beleza Pura B&B
450,Mwanza,TZ,73.4,few clouds,-2.5167,32.9,Gold Crest Hotel
462,Kutum,SD,78.69,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
463,San Jose Del Guaviare,CO,73.53,overcast clouds,2.5729,-72.6459,Hotel Aeropuerto
471,Mercedes,AR,75.99,clear sky,-34.6515,-59.4307,Posada del Inti Centro
474,Rio Cuarto,AR,75.2,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
480,Calama,CL,75.2,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
487,Sawakin,SD,77.72,clear sky,19.1059,37.3321,فندق الدويم
490,Tefe,BR,77.0,moderate rain,-3.3542,-64.7114,Aracati Hotel
499,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
501,Palora,EC,77.0,moderate rain,-1.7,-77.9333,Rancho grande
502,Villa Maria,AR,75.99,clear sky,-32.4075,-63.2402,Hotel Milenium
509,Kidodi,TZ,72.25,light rain,-7.6036,37.0044,Royal Family Lodge
521,Ampanihy,MG,75.04,few clouds,-24.7,44.75,Angora Hotel
528,Sombrio,BR,76.59,few clouds,-29.1139,-49.6167,Santa Rosa Do Sul
531,Burgersdorp,ZA,74.57,scattered clouds,-30.9977,26.3286,DeKat Self Catering
533,Kuliyapitiya,LK,77.0,scattered clouds,7.4688,80.0401,Rest House
543,Bengkulu,ID,75.72,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
549,Crossville,US,72.0,overcast clouds,35.949,-85.0269,Hampton Inn Crossville
551,Loandjili,CG,78.8,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
556,Florianopolis,BR,75.99,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
559,Hun,LY,78.13,scattered clouds,29.1268,15.9477,Alrwasi Hotel
564,Saint-Leu,RE,78.8,moderate rain,-21.15,55.2833,La Caz Oceane
